tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,closest,days_bt_x_and_y,winner_rank,winner_points,loser_rank,loser_points
Doha,Hard,A,2020-01-06,105916,Marton Fucsovics,HUN,126207,Frances Tiafoe,USA,2020-01-06,0 days,70.0,790.0,47.0,1050.0
Doha,Hard,A,2020-01-06,117356,Cem Ilkel,TUR,105575,Ricardas Berankis,LTU,2020-01-06,0 days,279.0,144.0,67.0,804.0
Doha,Hard,A,2020-01-06,200175,Miomir Kecmanovic,SRB,111442,Jordan Thompson,AUS,2020-01-06,0 days,62.0,881.0,63.0,878.0
Doha,Hard,A,2020-01-06,111513,Laslo Djere,SRB,132283,Lorenzo Sonego,ITA,2020-01-06,0 days,39.0,1151.0,51.0,990.0
Doha,Hard,A,2020-01-06,105732,Pierre Hugues Herbert,FRA,106065,Marco Cecchinato,ITA,2020-01-06,0 days,65.0,840.0,75.0,690.0
Doha,Hard,A,2020-01-06,105062,Mikhail Kukushkin,KAZ,104291,Malek Jaziri,TUN,2020-01-06,0 days,66.0,816.0,229.0,206.0
Adelaide,Hard,A,2020-01-13,126094,Andrey Rublev,RUS,144750,Lloyd Harris,RSA,2020-01-13,0 days,18.0,1799.0,91.0,594.0
Adelaide,Hard,A,2020-01-13,144750,Lloyd Harris,RSA,126205,Tommy Paul,USA,2020-01-13,0 days,91.0,594.0,90.0,600.0
Adelaide,Hard,A,2020-01-13,126094,Andrey Rublev,RUS,200000,Felix Auger Aliassime,CAN,2020-01-13,0 days,18.0,1799.0,22.0,1656.0
Adelaide,Hard,A,2020-01-13,126205,Tommy Paul,USA,105077,Albert Ramos,ESP,2020-01-13,0 days,90.0,600.0,42.0,1130.0
Adelaide,Hard,A,2020-01-13,144750,Lloyd Harris,RSA,105807,Pablo Carreno Busta,ESP,2020-01-13,0 days,91.0,594.0,30.0,1377.0
Adelaide,Hard,A,2020-01-13,126094,Andrey Rublev,RUS,105554,Daniel Evans,GBR,2020-01-13,0 days,18.0,1799.0,33.0,1324.0
Adelaide,Hard,A,2020-01-13,200000,Felix Auger Aliassime,CAN,106109,Alex Bolt,AUS,2020-01-13,0 days,22.0,1656.0,157.0,332.0
Adelaide,Hard,A,2020-01-13,105077,Albert Ramos,ESP,144719,Jaume Munar,ESP,2020-01-13,0 days,42.0,1130.0,88.0,608.0
Adelaide,Hard,A,2020-01-13,126205,Tommy Paul,USA,104655,Pablo Cuevas,URU,2020-01-13,0 days,90.0,600.0,44.0,1097.0
Adelaide,Hard,A,2020-01-13,105807,Pablo Carreno Busta,ESP,104871,Jeremy Chardy,FRA,2020-01-13,0 days,30.0,1377.0,56.0,920.0
Adelaide,Hard,A,2020-01-13,144750,Lloyd Harris,RSA,111513,Laslo Djere,SRB,2020-01-13,0 days,91.0,594.0,40.0,1165.0
Adelaide,Hard,A,2020-01-13,105554,Daniel Evans,GBR,122330,Alexander Bublik,KAZ,2020-01-13,0 days,33.0,1324.0,55.0,934.0
Adelaide,Hard,A,2020-01-13,126094,Andrey Rublev,RUS,105023,Sam Querrey,USA,2020-01-13,0 days,18.0,1799.0,45.0,1080.0
Adelaide,Hard,A,2020-01-13,106109,Alex Bolt,AUS,105526,Jan Lennard Struff,GER,2020-01-13,0 days,157.0,332.0,37.0,1270.0
Adelaide,Hard,A,2020-01-13,200000,Felix Auger Aliassime,CAN,105902,James Duckworth,AUS,2020-01-13,0 days,22.0,1656.0,96.0,576.0
Adelaide,Hard,A,2020-01-13,105077,Albert Ramos,ESP,111442,Jordan Thompson,AUS,2020-01-13,0 days,42.0,1130.0,65.0,843.0
Adelaide,Hard,A,2020-01-13,126205,Tommy Paul,USA,105379,Aljaz Bedene,SLO,2020-01-13,0 days,90.0,600.0,54.0,950.0
Adelaide,Hard,A,2020-01-13,104655,Pablo Cuevas,URU,124187,Reilly Opelka,USA,2020-01-13,0 days,44.0,1097.0,38.0,1227.0
Adelaide,Hard,A,2020-01-13,104871,Jeremy Chardy,FRA,104468,Gilles Simon,FRA,2020-01-13,0 days,56.0,920.0,60.0,890.0
Adelaide,Hard,A,2020-01-13,111513,Laslo Djere,SRB,200615,Alexei Popyrin,AUS,2020-01-13,0 days,40.0,1165.0,95.0,585.0
Adelaide,Hard,A,2020-01-13,144750,Lloyd Harris,RSA,106426,Christian Garin,CHI,2020-01-13,0 days,91.0,594.0,36.0,1285.0
Adelaide,Hard,A,2020-01-13,122330,Alexander Bublik,KAZ,126203,Taylor Fritz,USA,2020-01-13,0 days,55.0,934.0,32.0,1335.0
Adelaide,Hard,A,2020-01-13,105554,Daniel Evans,GBR,106228,Juan Ignacio Londero,ARG,2020-01-13,0 days,33.0,1324.0,51.0,1017.0
Adelaide,Hard,A,2020-01-13,105023,Sam Querrey,USA,106296,Gregoire Barrere,FRA,2020-01-13,0 days,45.0,1080.0,82.0,643.0
Adelaide,Hard,A,2020-01-13,105526,Jan Lennard Struff,GER,106099,Salvatore Caruso,ITA,2020-01-13,0 days,37.0,1270.0,94.0,586.0
Adelaide,Hard,A,2020-01-13,106109,Alex Bolt,AUS,103565,Stephane Robert,FRA,2020-01-13,0 days,157.0,332.0,661.0,30.0
Adelaide,Hard,A,2020-01-13,105902,James Duckworth,AUS,105643,Federico Delbonis,ARG,2020-01-13,0 days,96.0,576.0,73.0,709.0
Auckland,Hard,A,2020-01-13,200005,Ugo Humbert,FRA,105332,Benoit Paire,FRA,2020-01-13,0 days,57.0,900.0,24.0,1598.0
Auckland,Hard,A,2020-01-13,105332,Benoit Paire,FRA,128034,Hubert Hurkacz,POL,2020-01-13,0 days,24.0,1598.0,34.0,1318.0
Auckland,Hard,A,2020-01-13,200005,Ugo Humbert,FRA,104545,John Isner,USA,2020-01-13,0 days,57.0,900.0,20.0,1770.0
Auckland,Hard,A,2020-01-13,128034,Hubert Hurkacz,POL,103852,Feliciano Lopez,ESP,2020-01-13,0 days,34.0,1318.0,61.0,888.0
Auckland,Hard,A,2020-01-13,105332,Benoit Paire,FRA,105357,John Millman,AUS,2020-01-13,0 days,24.0,1598.0,47.0,1071.0
Auckland,Hard,A,2020-01-13,104545,John Isner,USA,106378,Kyle Edmund,GBR,2020-01-13,0 days,20.0,1770.0,69.0,800.0
Auckland,Hard,A,2020-01-13,200005,Ugo Humbert,FRA,133430,Denis Shapovalov,CAN,2020-01-13,0 days,57.0,900.0,13.0,2200.0
Auckland,Hard,A,2020-01-13,103852,Feliciano Lopez,ESP,104926,Fabio Fognini,ITA,2020-01-13,0 days,61.0,888.0,12.0,2310.0
Auckland,Hard,A,2020-01-13,128034,Hubert Hurkacz,POL,144707,Mikael Ymer,SWE,2020-01-13,0 days,34.0,1318.0,77.0,685.0
Auckland,Hard,A,2020-01-13,105357,John Millman,AUS,111575,Karen Khachanov,RUS,2020-01-13,0 days,47.0,1071.0,16.0,1995.0
Auckland,Hard,A,2020-01-13,105332,Benoit Paire,FRA,106329,Thiago Monteiro,BRA,2020-01-13,0 days,24.0,1598.0,86.0,616.0
Auckland,Hard,A,2020-01-13,106378,Kyle Edmund,GBR,104312,Andreas Seppi,ITA,2020-01-13,0 days,69.0,800.0,84.0,636.0
Auckland,Hard,A,2020-01-13,104545,John Isner,USA,105815,Tennys Sandgren,USA,2020-01-13,0 days,20.0,1770.0,101.0,553.0
Auckland,Hard,A,2020-01-13,200005,Ugo Humbert,FRA,106065,Marco Cecchinato,ITA,2020-01-13,0 days,57.0,900.0,76.0,690.0
Auckland,Hard,A,2020-01-13,133430,Denis Shapovalov,CAN,105577,Vasek Pospisil,CAN,2020-01-13,0 days,13.0,2200.0,146.0,360.0
Auckland,Hard,A,2020-01-13,103852,Feliciano Lopez,ESP,104665,Pablo Andujar,ESP,2020-01-13,0 days,61.0,888.0,63.0,867.0
Auckland,Hard,A,2020-01-13,144707,Mikael Ymer,SWE,126207,Frances Tiafoe,USA,2020-01-13,0 days,77.0,685.0,49.0,1050.0
Auckland,Hard,A,2020-01-13,128034,Hubert Hurkacz,POL,132283,Lorenzo Sonego,ITA,2020-01-13,0 days,34.0,1318.0,52.0,990.0
Auckland,Hard,A,2020-01-13,105357,John Millman,AUS,111581,Michael Mmoh,USA,2020-01-13,0 days,47.0,1071.0,227.0,207.0
Auckland,Hard,A,2020-01-13,106329,Thiago Monteiro,BRA,111815,Cameron Norrie,GBR,2020-01-13,0 days,86.0,616.0,62.0,885.0
Auckland,Hard,A,2020-01-13,105332,Benoit Paire,FRA,206173,Jannik Sinner,ITA,2020-01-13,0 days,24.0,1598.0,79.0,671.0
Auckland,Hard,A,2020-01-13,104312,Andreas Seppi,ITA,105173,Adrian Mannarino,FRA,2020-01-13,0 days,84.0,636.0,43.0,1111.0
Auckland,Hard,A,2020-01-13,106378,Kyle Edmund,GBR,200221,Alejandro Davidovich Fokina,ESP,2020-01-13,0 days,69.0,800.0,85.0,627.0
Auckland,Hard,A,2020-01-13,105815,Tennys Sandgren,USA,105030,Michael Venus,NZL,2020-01-13,0 days,101.0,553.0,0.0,0.0
Auckland,Hard,A,2020-01-13,106065,Marco Cecchinato,ITA,104919,Leonardo Mayer,ARG,2020-01-13,0 days,76.0,690.0,100.0,558.0
Auckland,Hard,A,2020-01-13,200005,Ugo Humbert,FRA,134770,Casper Ruud,NOR,2020-01-13,0 days,57.0,900.0,46.0,1079.0
Auckland,Hard,A,2020-01-13,105577,Vasek Pospisil,CAN,105311,Joao Sousa,POR,2020-01-13,0 days,146.0,360.0,58.0,891.0
Australian Open,Hard,G,2020-01-20,104745,Rafael Nadal,ESP,106198,Hugo Dellien,BOL,2020-01-20,0 days,1.0,10235.0,73.0,743.0
Australian Open,Hard,G,2020-01-20,105643,Federico Delbonis,ARG,105311,Joao Sousa,POR,2020-01-20,0 days,76.0,711.0,59.0,891.0
