tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Australian Open,Hard,G,2019-01-14,111575,Karen Khachanov,RUS,106415,Yoshihito Nishioka,JPN,17,1840,73,764
Australian Open,Hard,G,2019-01-14,106432,Borna Coric,CRO,104327,Steve Darcis,BEL,28,1415,157,332
Australian Open,Hard,G,2019-01-14,106432,Borna Coric,CRO,105916,Marton Fucsovics,HUN,28,1415,70,790
Australian Open,Hard,G,2019-01-14,106432,Borna Coric,CRO,105936,Filip Krajinovic,SRB,28,1415,40,1148
Australian Open,Hard,G,2019-01-14,104926,Fabio Fognini,ITA,144719,Jaume Munar,ESP,12,2290,86,628
Australian Open,Hard,G,2019-01-14,104926,Fabio Fognini,ITA,104919,Leonardo Mayer,ARG,12,2290,92,603
Australian Open,Hard,G,2019-01-14,126774,Stefanos Tsitsipas,GRE,126610,Matteo Berrettini,ITA,6,5300,8,2870
Australian Open,Hard,G,2019-01-14,106421,Daniil Medvedev,RUS,105992,Ryan Harrison,USA,5,5705,302,131
Australian Open,Hard,G,2019-01-14,105683,Milos Raonic,CAN,106401,Nick Kyrgios,AUS,31,1350,30,1395
Australian Open,Hard,G,2019-01-14,105683,Milos Raonic,CAN,104527,Stan Wawrinka,SUI,31,1350,16,2000
Australian Open,Hard,G,2019-01-14,105683,Milos Raonic,CAN,105732,Pierre Hugues Herbert,FRA,31,1350,65,865
Australian Open,Hard,G,2019-01-14,106043,Diego Schwartzman,ARG,106045,Denis Kudla,USA,14,2125,113,491
Australian Open,Hard,G,2019-01-14,105777,Grigor Dimitrov,BUL,104386,Janko Tipsarevic,SRB,20,1747,219,225
Australian Open,Hard,G,2019-01-14,105777,Grigor Dimitrov,BUL,104655,Pablo Cuevas,URU,20,1747,45,1097
Australian Open,Hard,G,2019-01-14,105777,Grigor Dimitrov,BUL,105341,Thomas Fabbiano,ITA,20,1747,114,482
Australian Open,Hard,G,2019-01-14,105676,David Goffin,BEL,106426,Christian Garin,CHI,11,2335,33,1297
Australian Open,Hard,G,2019-01-14,105676,David Goffin,BEL,105657,Marius Copil,ROU,11,2335,153,344
Australian Open,Hard,G,2019-01-14,105138,Roberto Bautista Agut,ESP,104918,Andy Murray,GBR,9,2540,125,442
Australian Open,Hard,G,2019-01-14,105138,Roberto Bautista Agut,ESP,105357,John Millman,AUS,9,2540,48,1026
